mode;target;match;file;line;elapsed_ms
PARALLEL;Tyler Russell;Tyler Russell;./dataset_g/a3.txt;5620;47.353
PARALLEL;Tyler Russell;Tyler Russell;./dataset_p/arq_2.txt;134;47.353
